date,ROSE,ANKR,VET,NEAR,ETH,EOS,BAKE,GRT,REEF,INJ,FIL,MATIC,BCH,IOST,CHR,EGLD,HBAR,ZIL,ALGO,DENT,DASH,ALICE,IOTA,LINK,XTZ,LRC,ONE,SXP,KAVA,AXS,ADA,SOL,ONT,ETC,MANA,SNX,ZEC,CFX,YFI,WAVES,LTC,CHZ,XLM,COTI,DOT,OMG,SUSHI,FTM,BNB,UNI,STX,RUNE,THETA,HOT,1INCH,FET,KSM,SLP,CRV,IOTX,BTC,AVAX,ENJ,CAKE,XRP,TRX,ATOM,AAVE,DOGE,NEO,SAND,QTUM
3/30/2024,8.954830168,8.734402351,9.513150627,9.858154646,11.62418233,9.089763666,8.091428413,9.564706062,7.87070374,9.500711326,9.699448649,9.958883494,10.07010368,8.365780909,8.550924918,9.197611508,9.582346952,8.820488533,9.322486279,8.255646416,8.657217694,8.22034804,9.03883611,10.04571928,9.125453515,8.666855136,8.568489788,8.463024327,9.043445244,9.187055626,10.35631344,10.93649727,8.511641734,9.682895055,9.090353015,9.174691179,8.650166001,9.265190475,8.469752863,8.572630294,9.883527119,9.114210073,9.602609511,8.45530228,10.10381587,8.189189274,8.54655861,9.420813991,10.96599529,9.977762087,9.724330964,9.448488354,9.446760771,8.769331138,8.841706488,9.52405064,8.638474781,8.377954154,8.901225529,8.842130168,12.13672057,10.30087423,8.845089673,9.059667826,10.53271196,10.03126468,9.680444011,9.263012255,10.45849885,9.055712006,9.193512182,8.693977687
3/31/2024,8.965086919,8.777154505,9.524313483,9.878913742,11.64118622,9.101262625,8.105010483,9.568878357,7.837237446,9.511751511,9.72284338,9.969081065,10.12600033,8.379580527,8.557436595,9.207209006,9.591277459,8.843648681,9.334846963,8.267468354,8.672030601,8.240457403,9.05031364,10.04998599,9.136174674,8.677734224,8.593605151,8.47104196,9.062328149,9.196551747,10.36053476,10.95476262,8.51850311,9.701722132,9.096024114,9.183924419,8.656451561,9.257678173,8.483300661,8.580558251,9.893671655,9.123420657,9.608470226,8.469961065,10.1128038,8.195412796,8.560598063,9.44782158,10.97015733,9.988766597,9.723063687,9.464638894,9.486006244,8.785922651,8.850275241,9.502178365,8.637726759,8.388644936,8.907268648,8.850366705,12.14612804,10.30965899,8.857460874,9.064761571,10.53859389,10.0326968,9.681110394,9.277329445,10.50071711,9.066190087,9.197760803,8.710676105
4/1/2024,8.944281992,8.829022841,9.510151094,9.848341821,11.62516837,9.076930368,8.088235678,9.550783545,7.803293405,9.482191444,9.699792284,9.946948096,10.10787637,8.342457851,8.522962009,9.189167242,9.569503615,8.80870295,9.309202251,8.245586289,8.647335429,8.224608821,9.018517086,10.03401459,9.121135601,8.65638883,8.567595244,8.444137594,9.062129807,9.167342988,10.34173991,10.93376454,8.489617945,9.681313877,9.069057754,9.160722968,8.636504712,9.188088354,8.465697827,8.60799157,9.870332215,9.093878803,9.592955278,8.450083151,10.09271164,8.167283586,8.545544862,9.426874544,10.94969949,9.972296587,9.719592575,9.4402473,9.459614416,8.762737472,8.837741429,9.480527119,8.619548703,8.360925094,8.886206249,8.834567948,12.13672057,10.28890921,8.8289743,9.024048924,10.52740627,10.02465375,9.659026232,9.282806622,10.47105707,9.043537346,9.173268397,8.676564863
4/2/2024,8.914972973,8.748161919,9.475819967,9.811218867,11.59525522,9.046006498,8.038237278,9.499512224,7.809503549,9.463850869,9.660209424,9.922207454,10.1000149,8.30309007,8.503741348,9.158178785,9.54395778,8.766468695,9.278141824,8.210149393,8.627195811,8.187221188,8.979158834,10.0241025,9.080906119,8.626169799,8.5375285,8.408039596,8.998659722,9.133947549,10.31153863,10.90731974,8.451443905,9.64303961,9.038006033,9.120365052,8.617641549,9.147924058,8.437761712,8.549608959,9.901194208,9.063162825,9.56968757,8.40986142,10.06426104,8.131958147,8.499690896,9.386588755,10.92774527,9.931804207,9.680796783,9.406610373,9.412241092,8.723314243,8.793509932,9.447776959,8.58275295,8.329531249,8.85299864,8.797312241,12.11058971,10.24839434,8.793244825,8.984550804,10.50747875,10.01018079,9.632572824,9.233300015,10.41920114,9.010592361,9.136379471,8.642667199
4/3/2024,8.930929661,8.728585609,9.474776327,9.838413647,11.60033653,9.040371401,8.037778074,9.495348613,7.818248703,9.469218108,9.652961456,9.920205247,10.06949471,8.30288538,8.508471639,9.15917212,9.540736909,8.765123619,9.275264716,8.214022019,8.622781569,8.188547884,8.983179091,10.01752786,9.075655467,8.629533613,8.535223755,8.404274473,8.992024597,9.135073621,10.30524912,10.91713313,8.445433054,9.65253111,9.032474682,9.11630099,8.609091854,9.146088882,8.436224608,8.496228998,9.866639569,9.066456374,9.561984778,8.411895084,10.05697322,8.121843737,8.4856395,9.362191882,10.93832767,9.914407877,9.660219869,9.391778807,9.401114115,8.714898095,8.78994998,9.432713478,8.57360341,8.331379526,8.85039147,8.884209847,12.11394335,10.24061078,8.795921591,8.99039085,10.50034259,10.01236565,9.62790834,9.231764231,10.40365938,9.004803358,9.127410503,8.636038074
4/4/2024,8.942137691,8.749164786,9.481413638,9.843634803,11.60197865,9.05495153,8.042645112,9.504281769,7.807966889,9.463517555,9.66127941,9.923846491,10.10479501,8.315409429,8.520061345,9.165482739,9.549514253,8.777450519,9.28365728,8.221027481,8.636238704,8.200976234,8.996460395,10.0182523,9.092449096,8.635896129,8.541856672,8.42637171,9.002103071,9.145316111,10.31236541,10.91209041,8.460019139,9.679218524,9.042191908,9.125238483,8.615024546,9.15191794,8.446429947,8.489040967,9.860991971,9.108178181,9.570100774,8.415079523,10.05835667,8.134642933,8.482246026,9.379541376,10.95469527,9.916725361,9.676761123,9.402050612,9.408489861,8.725533812,8.798677995,9.449038379,8.58063103,8.340535626,8.866901908,8.837591592,12.13033377,10.24440681,8.798413327,8.995367875,10.5138153,10.01940531,9.63317367,9.235688402,10.41161897,9.021882808,9.135482738,8.649738827
4/5/2024,8.935783575,8.742875662,9.468875531,9.884065686,11.60148552,9.056472077,8.035137618,9.49705021,7.856088399,9.490184642,9.651302183,9.915070016,10.11445539,8.311358185,8.526786971,9.158310713,9.548729145,8.770124048,9.27148127,8.218828054,8.626922861,8.190098775,8.983186937,10.00912283,9.088241076,8.622508747,8.527927234,8.419898799,8.989550425,9.137989213,10.30771328,10.89187456,8.451074161,9.687322554,9.042531709,9.109426358,8.61065103,9.141008561,8.441989004,8.475875131,9.863686287,9.097854822,9.566113961,8.393526805,10.05464992,8.124656351,8.478065638,9.351456908,10.95077947,9.916322024,9.653449154,9.398998934,9.413836631,8.716968526,8.79415959,9.437095029,8.573111675,8.329462069,8.860854667,8.822653016,12.1271048,10.23473359,8.792512706,8.977674539,10.51050168,10.01516043,9.630795888,9.227450385,10.40831583,9.033334608,9.133026119,8.649156078
4/6/2024,8.940285716,8.772260774,9.481064515,9.872462927,11.60577247,9.06791802,8.037984857,9.504923735,7.849567921,9.495209517,9.662006862,9.920556796,10.13611768,8.31591935,8.530927259,9.165804489,9.552945906,8.780205005,9.278637347,8.22781302,8.640699709,8.197902268,8.988518978,10.01449797,9.092597549,8.63309642,8.53377078,8.425259609,9.003596626,9.143168054,10.31389462,10.90075627,8.457324157,9.689752225,9.041513136,9.115351405,8.612950259,9.144231716,8.444621849,8.480762773,9.876594703,9.126658269,9.571304086,8.398503323,10.05938797,8.127949806,8.483903894,9.376919563,10.95427527,9.929091868,9.667758907,9.40283629,9.424144137,8.731809977,8.795558632,9.439719059,8.578997543,8.342955928,8.866029876,8.858517324,12.13353891,10.25944888,8.805219567,8.984822966,10.51356902,10.02063279,9.638321293,9.244323867,10.42550451,9.03570704,9.138242303,8.658209814
4/7/2024,8.937318234,8.808015108,9.490300894,9.865314738,11.61793986,9.071542485,8.053056563,9.503671177,7.902217379,9.501631703,9.673344481,9.927631487,10.1297815,8.325416834,8.560570415,9.161948283,9.552787876,8.786086131,9.281653641,8.246824226,8.644823348,8.210945672,8.996199103,10.02224592,9.094506912,8.639700069,8.541246859,8.435476912,9.01494763,9.147423739,10.31758548,10.90377138,8.469097219,9.695410178,9.044402761,9.118256685,8.61891086,9.143174622,8.450054231,8.493769942,9.877307876,9.120324486,9.571788966,8.412700559,10.06991605,8.134696649,8.490369556,9.386793543,10.95407328,9.933972263,9.681654771,9.394076549,9.428528347,8.741809857,8.813738092,9.451451007,8.584493253,8.349106963,8.875017043,8.890677142,12.13672057,10.26766234,8.808912564,8.986316019,10.51489876,10.02417735,9.636672027,9.25993964,10.45880612,9.035965968,9.141994574,8.6607159
4/8/2024,8.954618147,8.795467492,9.529262394,9.891814209,11.64696701,9.099875644,8.069963228,9.522864552,7.863898312,9.506968084,9.696973756,9.943673601,10.12699042,8.351024945,8.579456844,9.183013943,9.567113106,8.808588032,9.299409977,8.280399191,8.664224679,8.233142204,9.017666199,10.02641217,9.113732036,8.654645663,8.567715959,8.452537223,9.033822219,9.174943653,10.33559408,10.90598938,8.507716318,9.718497645,9.066480771,9.152065416,8.629097509,9.157917104,8.45918418,8.509928056,9.885784458,9.147743131,9.585087774,8.442124344,10.086521,8.16126482,8.51511084,9.417211657,10.95599206,9.942974309,9.702610878,9.414937433,9.462966986,8.775282703,8.845496469,9.467944028,8.598607197,8.385528971,8.887788704,8.877836825,12.14921911,10.27565652,8.835546787,8.998712496,10.53027753,10.03265221,9.645072988,9.280566383,10.46464308,9.174960338,9.164980606,8.722397764
4/9/2024,8.933145826,8.778246987,9.501600378,9.884570819,11.62453998,9.088149157,8.044624185,9.499026618,7.860969945,9.475687582,9.665744959,9.921473398,10.1230628,8.346604477,8.511055212,9.158996815,9.543303943,8.779947704,9.275432963,8.257085147,8.640870835,8.217309934,8.990671902,10.00870291,9.093966637,8.62830066,8.533479777,8.442243618,9.016024513,9.152013195,10.3206611,10.88674014,8.484564756,9.68232337,9.057789856,9.118351772,8.617215593,9.109451656,8.443692198,8.506520648,9.860997135,9.117276819,9.582031586,8.406331988,10.06887732,8.143133231,8.486771879,9.453786173,10.95161557,9.927543316,9.665031781,9.390994048,9.458780318,8.740978177,8.821338417,9.43199811,8.570844461,8.357513829,8.86544142,8.866836075,12.13353891,10.24577459,8.814873437,8.978844769,10.52895408,10.02633597,9.6280127,9.270470229,10.43387396,9.124659955,9.146875512,8.68059502
4/10/2024,8.918315842,8.776763885,9.527733968,9.86981873,11.62849187,9.082956196,8.031330991,9.491617031,7.845984615,9.474303956,9.6583852,9.915467398,10.09209455,8.356567968,8.504601534,9.151282483,9.562643857,8.778391256,9.271246994,8.249752188,8.637271974,8.205381825,8.987679946,10.00907893,9.095196288,8.62660517,8.53065656,8.435278995,9.008690834,9.141414625,10.31530447,10.88753708,8.520045676,9.690011492,9.054514842,9.108351168,8.606015731,9.121033207,8.44073509,8.504400704,9.856901575,9.116594996,9.572912817,8.397308732,10.05577441,8.130736308,8.467265227,9.44311106,10.97187389,9.877840854,9.65241739,9.400644649,9.482165812,8.734987638,8.810291265,9.442766943,8.561489434,8.34724994,8.862666495,8.857445187,12.1430148,10.25240032,8.80444189,8.979103876,10.5314765,10.01892144,9.625045555,9.273561064,10.45816028,9.185585628,9.138500389,8.72810738
4/11/2024,8.924536917,8.766261171,9.543547448,9.859000184,11.62447219,9.106707773,8.018053501,9.46857864,7.743773828,9.458085872,9.635971941,9.911495235,10.08266268,8.368753918,8.502727869,9.143201717,9.552631197,8.788199117,9.267764293,8.249945015,8.636746423,8.20013867,8.989562239,10.01258174,9.098534987,8.623939653,8.511788551,8.435591954,9.003232041,9.135609007,10.31547722,10.88652245,8.540815839,9.694204416,9.054327597,9.102570016,8.598526601,9.133225754,8.445536811,8.491651599,9.866512474,9.100766346,9.575146313,8.378431967,10.05365497,8.12647022,8.438037453,9.410648287,10.96917139,9.839644168,9.637397382,9.379125947,9.462882911,8.725377106,8.805700304,9.425004914,8.554260891,8.33763704,8.853155985,8.849106396,12.13987909,10.24058265,8.806830938,8.965113464,10.52541465,10.02331202,9.622950477,9.241995557,10.44573284,9.190073243,9.138117488,8.736195208
4/12/2024,8.830478235,8.68361992,9.493176232,9.788875798,11.59033164,9.03148739,7.904716567,9.405745836,7.660178874,9.380041863,9.551405717,9.852423416,10.02202915,8.318308905,8.434327748,9.067710303,9.495929902,8.708004513,9.197791985,8.144092312,8.574779371,8.09921964,8.930345828,9.949561867,9.032925889,8.547908847,8.442287154,8.369905654,8.927077827,9.059981891,10.2501058,10.83585166,8.5449872,9.636599668,8.984822036,9.028084304,8.542442603,9.019774845,8.378265319,8.417198826,9.80722425,9.028868793,9.521692286,8.305401207,9.991593087,8.014632055,8.32875031,9.319428991,10.96178617,9.777120461,9.584002805,9.291263615,9.387860071,8.655653501,8.739880919,9.349181767,8.479405077,8.249821032,8.755178535,8.764450143,12.12057393,10.17301799,8.718161242,8.907340835,10.48017464,10.00299202,9.565600007,9.172166294,10.40085982,9.14221554,9.062809637,8.681937626
4/13/2024,8.776349966,8.60830253,9.468477036,9.748401253,11.56071546,8.927015152,7.813887128,9.350425643,7.690796179,9.325433239,9.491194664,9.786085306,9.978947753,8.224259099,8.425933721,9.009406491,9.452219018,8.637185336,9.13967551,8.071524631,8.523282377,8.01298792,8.855776776,9.896203592,8.988667817,8.490942549,8.388577823,8.289076569,8.845864906,9.005565285,10.20062804,10.79726649,8.412560793,9.57481335,8.895033282,8.965603608,8.489142593,8.931819083,8.349363004,8.373393746,9.763345765,8.945515507,9.48708611,8.199489913,9.942264131,7.931817556,8.253635737,9.273474718,10.93499911,9.718511861,9.569880172,9.221392874,9.302343034,8.581589441,8.659273258,9.313878612,8.41595103,8.187571942,8.702087097,8.686716014,12.10380372,10.11155352,8.651678754,8.838106368,10.42372045,9.985244535,9.502193578,9.090151269,10.34686234,9.078961396,8.974463268,8.603336318
4/14/2024,8.808297063,8.642223868,9.494787398,9.784151393,11.57911997,8.949530194,7.85146934,9.391771826,7.659281629,9.372966923,9.522792591,9.821682856,10.01663381,8.258261961,8.441241687,9.046350777,9.47555113,8.663779172,9.165309478,8.111410115,8.550858317,8.050556938,8.887902904,9.919274223,9.011748257,8.525955497,8.421574065,8.316434547,8.865768228,9.022931907,10.21983003,10.83127133,8.447291339,9.598228305,8.9184528,8.990921647,8.516704371,8.9967217,8.377308479,8.402703391,9.775214703,8.98281728,9.505053005,8.248361257,9.969429573,7.964527014,8.287719361,9.301735028,10.941556,9.75437577,9.603105603,9.257477895,9.336988143,8.619130962,8.687011542,9.366765606,8.45417685,8.224986031,8.729972875,8.709390602,12.11058971,10.15261719,8.687082295,8.855479505,10.44472741,9.994310952,9.515774131,9.115684031,10.36992565,9.166248262,9.001826239,8.652291952
4/15/2024,8.792243826,8.634250892,9.478636764,9.744966085,11.57083435,8.93638155,7.821626515,9.378823816,7.663116807,9.341283774,9.509937568,9.81715447,9.999155608,8.257957103,8.407747463,9.028744011,9.452557055,8.645911493,9.140542471,8.090724431,8.522954349,8.022243276,8.852393914,9.901178779,8.989133946,8.494947576,8.390050561,8.294620439,8.842791692,8.996232694,10.21055563,10.7903556,8.45925435,9.58874103,8.897492238,8.983802664,8.501005328,8.98431437,8.364020731,8.37279278,9.763874339,8.958538166,9.491583802,8.226095049,9.957715094,7.951542332,8.267508676,9.257755154,10.92947598,9.737148036,9.565943908,9.23778953,9.304251717,8.590863404,8.666668794,9.33137725,8.433300643,8.205314543,8.704424402,8.698311238,12.09691001,10.12349776,8.658221765,8.835311679,10.43767806,9.98989025,9.502243352,9.099601948,10.36596297,9.157741221,8.986123822,8.64233719
4/16/2024,8.79389455,8.630535106,9.463461614,9.768173151,11.56847645,8.933945479,7.82906545,9.388209314,7.648520875,9.353136239,9.515130621,9.814676979,9.982211151,8.23962429,8.395608516,9.034542,9.455437261,8.646414528,9.151548697,8.095538192,8.52024454,8.032663546,8.852635649,9.899174215,8.991417817,8.498522108,8.38900586,8.301265142,8.845438831,9.003292966,10.20940667,10.78517753,8.466799062,9.584606788,8.907490038,8.975864859,8.505661437,8.971105178,8.36359011,8.370183711,9.773964717,8.981182738,9.500500823,8.241159542,9.957762951,7.953749199,8.272263104,9.2887824,10.91647869,9.733960869,9.542575659,9.230899602,9.308919128,8.601111184,8.664907595,9.341836768,8.442430344,8.211163886,8.709872005,8.705634342,12.09691001,10.11915305,8.66650663,8.829385019,10.43743678,9.99109307,9.503851299,9.109367884,10.35166359,9.133993377,8.99278081,8.624563244
