date,market,MACD,Signal Line,MACD Histogram,Signal
2021-12-31,2663.4,-83.39408586728678,-78.57247812828301,-4.821607739003767,-1
2022-01-01,2663.4,-90.0991181059494,-80.8778061238163,-9.221311982133102,-1
2022-01-02,2663.4,-94.32557791566023,-83.5673604821851,-10.758217433475139,-1
2022-01-03,2693.63,-94.15046149402951,-85.68398068455399,-8.466480809475527,-1
2022-01-04,2734.52,-89.67844194438703,-86.48287293652061,-3.1955690078664247,-1
2022-01-05,2601.66,-95.75126489615559,-88.3365513284476,-7.414713567707992,-1
2022-01-06,2508.71,-106.83280692507833,-92.03580244777375,-14.797004477304583,-1
2022-01-07,2408.68,-122.27706000272292,-98.08405395876359,-24.19300604395933,-1
2022-01-08,2407.68,-133.06355959343955,-105.07995508569878,-27.983604507740765,-1
2022-01-09,2406.68,-140.07789904948868,-112.07954387845678,-27.998355171031903,-1
2022-01-10,2336.85,-149.54761914696837,-119.5731589321591,-29.97446021480927,-1
2022-01-11,2418.56,-148.74449250941598,-125.4074256476105,-23.337066861805482,-1
2022-01-12,2514.27,-138.78518255111203,-128.0829770283108,-10.702205522801222,-1
2022-01-13,2441.41,-135.212900588896,-129.50896174042785,-5.703938848468141,-1
2022-01-14,2485.44,-127.36085175138851,-129.07933974262,1.718487991231484,1
2022-01-15,2486.44,-119.67778383879613,-127.19902856185523,7.521244723059098,1
2022-01-16,2487.44,-112.21466471823169,-124.20215579313053,11.987491074898841,1
2022-01-17,2488.44,-105.00891994037329,-120.36350862257909,15.3545886822058,1
2022-01-18,2387.84,-106.19178178176253,-117.52916325441579,11.337381472653263,1
2022-01-19,2371.73,-107.19349083946872,-115.46202877142639,8.268537931957667,1
2022-01-20,2419.07,-102.98031712867487,-112.96568644287609,9.985369314201222,1
2022-01-21,2135.29,-121.14355348484878,-114.60125985127064,-6.54229363357814,-1
2022-01-22,2136.29,-133.91368392361937,-118.46374466574039,-15.449939257878981,-1
2022-01-23,2137.29,-142.31291792637558,-123.23357931786744,-19.079338608508138,-1
2022-01-24,1965.59,-160.96858082965855,-130.78057962022567,-30.188001209432883,-1
2022-01-25,1946.39,-175.28206508915764,-139.68087671401207,-35.60118837514557,-1
2022-01-26,1988.36,-181.1507827843302,-147.9748579280757,-33.17592485625451,-1
2022-01-27,1880.99,-192.24951279867537,-156.82978890219565,-35.419723896479724,-1
2022-01-28,2004.53,-188.89917861847653,-163.24366684545183,-25.6555117730247,-1
2022-01-29,2005.53,-184.041803649734,-167.40329420630826,-16.638509443425733,-1
